tic,time_idx,actual_scaled,p50_scaled,actual,p10,p50,p90
BTCUSDT,323,1.5573667573093006,-0.6614120006561279,114229.00191753951,86206.17047000071,94329.96134019477,110952.76725359797
BTCUSDT,324,1.4882271071600308,-0.6595646739006042,113608.92535565404,86231.50657983565,94346.52902633105,110876.77389183463
BTCUSDT,325,1.0709060482695212,-0.6110078692436218,109866.19586771826,86497.61805568071,94782.00905006334,110298.50589084199
BTCUSDT,326,0.8258757655671202,-0.612450361251831,107668.65024913463,86485.6117887617,94769.07211036135,110368.57416522643
BTCUSDT,327,0.23127286630397917,-0.6110084652900696,102335.97470527205,86497.62233217826,94782.00370444138,110298.48664660293
BTCUSDT,322,1.776748074633842,-0.6589370965957642,117035.65984748228,92252.42461070663,98958.28359411005,112635.60670352756
BTCUSDT,323,1.5573667573093006,-0.6614137291908264,115407.43684761316,92217.05288310934,98939.90231076886,112696.22676125927
BTCUSDT,324,1.4882271071600308,-0.6595631837844849,114894.29028641622,92238.01544700445,98953.63684673415,112633.327567724
BTCUSDT,325,1.0709060482695212,-0.6110074520111084,111796.9812051235,92458.23340499289,99314.0119243071,112154.75151734496
BTCUSDT,326,0.8258757655671202,-0.6124502420425415,109978.39452314879,92448.29580664444,99303.30370201264,112212.72791910576
BTCUSDT,327,0.23127286630397917,-0.6110085248947144,105565.3199360504,92458.23517450827,99314.0039614879,112154.7267441297
BTCUSDT,328,0.4364832696551289,-0.6106869578361511,107088.36803615122,92468.83103257637,99316.39059535053,112156.41132276712
BTCUSDT,323,1.5573667573093006,-0.661325216293335,116878.96149969607,96055.3545811039,102092.8760738167,114444.80695611364
BTCUSDT,324,1.4882271071600308,-0.6595650315284729,116418.19236834049,96074.47618622542,102104.606517974,114388.05625021596
BTCUSDT,325,1.0709060482695212,-0.6110060214996338,113637.02900713988,96272.21466787186,102428.21956522214,113958.31785759612
BTCUSDT,326,0.8258757655671202,-0.6124497652053833,112004.06745363405,96263.28664434135,102418.59798727429,114010.34953343762
BTCUSDT,327,0.23127286630397917,-0.6110082864761353,108041.44020858008,96272.20990117484,102428.20447068156,113958.2606572318
BTCUSDT,328,0.4364832696551289,-0.6106868982315063,109409.02912598278,96281.72502288909,102430.34630654544,113959.77328908819
BTCUSDT,329,0.6270793451683973,-0.5816437602043152,110679.22340617413,96869.82897971706,102623.89923097791,113574.13319955886
BTCUSDT,324,1.4882271071600308,-0.6594753861427307,117501.14261166537,97649.5120736173,103534.56360998187,115520.43690129158
BTCUSDT,325,1.0709060482695212,-0.6110089421272278,114787.29022464444,97842.75318159035,103849.7424680332,115100.85581204233
BTCUSDT,326,0.8258757655671202,-0.6124484539031982,113193.85034559248,97834.04123812538,103840.3812762454,115151.61268928257
BTCUSDT,327,0.23127286630397917,-0.6110079884529114,109327.12839826268,97842.74387892781,103849.74866980824,115100.75658364195
BTCUSDT,328,0.4364832696551289,-0.6106867790222168,110661.61830983497,97852.02793613875,103851.8375051585,115102.22485387888
BTCUSDT,329,0.6270793451683973,-0.5816437005996704,111901.07077327801,98425.89833487904,104040.70558651775,114725.91742508153
BTCUSDT,330,-1.2161538464523747,-0.5800163745880127,99914.4655197227,98443.97883473965,104051.28814037435,114692.06891222237
BTCUSDT,325,1.0709060482695212,-0.6109023094177246,116329.88656646665,101618.80077683704,106834.72407763761,116602.24593771553
BTCUSDT,326,0.8258757655671202,-0.6124513149261475,114946.49330509502,101611.4149188935,106825.97869417502,116646.22928038628
BTCUSDT,327,0.23127286630397917,-0.6110067367553711,111589.48112292445,101618.96903494584,106834.1345012244,116602.0615268283
BTCUSDT,328,0.4364832696551289,-0.6106864809989929,112748.05909960714,101627.02388712995,106835.94260286148,116603.31471322259
BTCUSDT,329,0.6270793451683973,-0.5816435813903809,113824.12742716634,102125.24691578308,106999.9131585256,116276.60592428315
BTCUSDT,330,-1.2161538464523747,-0.5800164937973022,103417.59176021916,102140.9433782361,107009.09937823322,116247.21863603391
BTCUSDT,331,2.327491729963981,-0.5822557806968689,123424.32463028541,102121.95040291561,106996.45680045478,116284.37541071475
BTCUSDT,326,0.8258757655671202,-0.6123437881469727,115959.71257498825,102262.45353350189,107619.37868273354,117705.73753111994
BTCUSDT,327,0.23127286630397917,-0.6110095381736755,112511.56955652451,102270.40075107751,107627.11608989387,117660.27192521238
BTCUSDT,328,0.4364832696551289,-0.6106850504875183,113701.5987684713,102278.67426359882,107628.99781625441,117661.5411572469
BTCUSDT,329,0.6270793451683973,-0.5816432237625122,114806.87849035309,102790.41672950808,107797.41336247756,117325.94127517834
BTCUSDT,330,-1.2161538464523747,-0.5800163745880127,104117.84271712677,102806.53929460017,107806.84757248577,117295.74931446178
BTCUSDT,331,2.327491729963981,-0.5822557806968689,124667.686603479,102787.02934553796,107793.86110277746,117333.91337965659
BTCUSDT,332,1.5878645589949278,-0.8510343432426453,120378.537880855,101032.72392649674,106235.19577318782,115760.57411009923
BTCUSDT,327,0.23127286630397917,-0.6109029054641724,112768.48588016002,102496.18833902584,107869.8906825156,117932.88197291207
BTCUSDT,328,0.4364832696551289,-0.6106879711151123,113962.11164102952,102504.6699115758,107871.14086852832,117934.07044702511
BTCUSDT,329,0.6270793451683973,-0.5816423296928406,115070.73177888858,103017.95759711684,108040.08759479773,117597.44382191016
BTCUSDT,330,-1.2161538464523747,-0.5800163745880127,104349.39121876375,103034.12334126576,108049.54511677247,117567.13426506716
BTCUSDT,331,2.327491729963981,-0.5822560787200928,124961.34157960353,103014.5530417522,108036.51766540977,117605.40743053803
BTCUSDT,332,1.5878645589949278,-0.8510344624519348,120659.23003803121,101254.94847158589,106473.14272170278,116027.31246527586
BTCUSDT,333,-0.8254408990072819,-0.8420531153678894,106622.0101092285,101305.69784167508,106525.38357826638,116046.55201674279
BTCUSDT,328,0.4364832696551289,-0.6105813384056091,114066.8005110345,102606.9320664391,107975.2521896442,118039.67363893044
BTCUSDT,329,0.6270793451683973,-0.5816503763198853,115175.63868101787,103120.4691152766,108143.56496821849,117702.91977900926
BTCUSDT,330,-1.2161538464523747,-0.5800184011459351,104452.18955676186,103136.64774813855,108153.05937339168,117672.57929416512
BTCUSDT,331,2.327491729963981,-0.5822579264640808,125068.19366619403,103117.07637385168,108140.0304002152,117710.83016508709
BTCUSDT,332,1.5878645589949278,-0.8510353565216064,120765.23602911399,101357.13753255365,106576.35353606554,116132.42032823496
BTCUSDT,333,-0.8254408990072819,-0.8420543074607849,106725.2554027775,101407.89480292688,106628.6029330078,116151.66297001255
BTCUSDT,334,-0.040633441464376856,-0.8498581051826477,111291.0601428158,101369.65225434693,106583.20247677318,116141.70771515073
BTCUSDT,329,0.6270793451683973,-0.5815162658691406,116221.03427992789,105859.8160693954,110177.77783390059,118393.27493858662
BTCUSDT,330,-1.2161538464523747,-0.5800224542617798,107004.44374702737,105873.7618145168,110185.24723602558,118367.15378784676
BTCUSDT,331,2.327491729963981,-0.5822575092315674,124723.487881012,105856.94120494333,110174.07144634867,118400.01415017589
BTCUSDT,332,1.5878645589949278,-0.8510353565216064,121025.1816586532,104344.31008306253,108830.1202989583,117043.3812323833
BTCUSDT,333,-0.8254408990072819,-0.8420546054840088,108958.09848201924,104387.93315585123,108875.02612279422,117059.91304414895
BTCUSDT,334,-0.040633441464376856,-0.8498585224151611,112882.31654418391,104355.0644484874,108836.00474056535,117051.35640321813
BTCUSDT,335,-1.3956358890401417,-0.8425552845001221,106106.99219176023,104377.75340567243,108872.52261238603,117059.80396262402
BTCUSDT,330,-1.2161538464523747,-0.579891562461853,107583.21022260738,106495.69816252799,110643.08921619464,118511.77954346205
BTCUSDT,331,2.327491729963981,-0.5822621583938599,124625.1234914385,106479.55646785143,110631.68867136094,118543.34918051111
