tic,time_idx,horizon,actual_scaled,p50_scaled,actual,p10,p50,p90
ADAUSDT,2576,6,0.65444547,0.7071394,0.86832917,0.8611478,0.87322944,0.8837014
ADAUSDT,2577,7,-0.1244263,0.12725836,0.79589784,0.8095514,0.81930333,0.83107615
ADAUSDT,2572,1,0.66397285,0.6179078,0.86963546,0.85395384,0.86549455,0.87936246
ADAUSDT,2573,2,0.5922163,0.7295331,0.86318505,0.8618226,0.8755289,0.8894475
ADAUSDT,2574,3,0.2540072,0.34890246,0.8327824,0.8306758,0.8413128,0.8535058
ADAUSDT,2575,4,0.19833201,0.36597183,0.82777756,0.8336067,0.8428472,0.85526
ADAUSDT,2576,5,0.65444547,0.72645485,0.86877906,0.8618177,0.8752522,0.88987523
ADAUSDT,2577,6,-0.1244263,0.12485494,0.7987638,0.81136125,0.8211725,0.8307382
ADAUSDT,2578,7,0.13359872,0.2695237,0.8219585,0.8232225,0.8341772,0.84427404
ADAUSDT,2573,1,0.5922163,0.7000377,0.86434746,0.8600926,0.8737425,0.89076734
ADAUSDT,2574,2,0.2540072,0.367226,0.8348775,0.83392704,0.84474283,0.8568679
ADAUSDT,2575,3,0.19833201,0.40242934,0.8300262,0.83668476,0.84781027,0.860676
ADAUSDT,2576,4,0.65444547,0.77010256,0.8697698,0.86626065,0.87984765,0.89180964
ADAUSDT,2577,5,-0.1244263,0.12127857,0.8019025,0.81204176,0.8233121,0.8324901
ADAUSDT,2578,6,0.13359872,0.2775153,0.82438564,0.8271192,0.83692586,0.8458512
ADAUSDT,2579,7,-0.2773712,0.0041948436,0.7885756,0.80219406,0.81310993,0.82208675
ADAUSDT,2574,1,0.2540072,0.355371,0.83726406,0.8340852,0.84572655,0.86144966
ADAUSDT,2575,2,0.19833201,0.37337273,0.8326159,0.83921885,0.8472295,0.8585247
ADAUSDT,2576,3,0.65444547,0.76469874,0.87069535,0.8664614,0.87990004,0.89231896
ADAUSDT,2577,4,-0.1244263,0.061707094,0.80566984,0.81103873,0.82120955,0.8323055
ADAUSDT,2578,5,0.13359872,0.20628029,0.8272115,0.82342875,0.8332795,0.8431401
ADAUSDT,2579,6,-0.2773712,-0.055779435,0.792901,0.80188835,0.81140095,0.8207012
ADAUSDT,2580,7,-3.3294787,-2.8221345,0.53809035,0.3328716,0.5804469,0.81942034
ADAUSDT,2575,1,0.19833201,0.30789965,0.83506805,0.83269966,0.8437901,0.8568758
ADAUSDT,2576,2,0.65444547,0.68584085,0.8713765,0.8577996,0.87387574,0.8891035
ADAUSDT,2577,3,-0.1244263,-0.0035638106,0.80937517,0.8082689,0.8189963,0.8298559
ADAUSDT,2578,4,0.13359872,0.15784225,0.82991505,0.8221479,0.8318449,0.8441185
ADAUSDT,2579,5,-0.2773712,-0.12337404,0.79720014,0.8012283,0.809459,0.81940895
ADAUSDT,2580,6,-3.3294787,-2.6076653,0.55424,0.3628034,0.6116993,0.80757326
ADAUSDT,2581,7,-3.2576706,-3.0774488,0.55995625,0.43192065,0.5743026,0.7109942
ADAUSDT,2576,1,0.65444547,0.5468631,0.8715988,0.8485904,0.8634616,0.87758887
ADAUSDT,2577,2,-0.1244263,-0.08954567,0.81268775,0.80455613,0.815326,0.82633424
ADAUSDT,2578,3,0.13359872,0.11258127,0.8322038,0.8196984,0.83061415,0.8397038
ADAUSDT,2579,4,-0.2773712,-0.17951372,0.80111957,0.7988544,0.80852115,0.8164812
ADAUSDT,2580,5,-3.3294787,-2.8788018,0.5702692,0.35932687,0.6043568,0.80688816
ADAUSDT,2581,6,-3.2576706,-2.9322033,0.5757006,0.44854867,0.6003177,0.72136897
ADAUSDT,2582,7,-2.0377705,-2.2663455,0.66796935,0.56715006,0.6506808,0.72288764
ADAUSDT,2577,1,-0.1244263,0.09159808,0.81609964,0.82101136,0.83146524,0.8433908
ADAUSDT,2578,2,0.13359872,0.24189842,0.8344527,0.83224034,0.84215593,0.85249215
ADAUSDT,2579,3,-0.2773712,-0.09062381,0.80522084,0.81087166,0.81850404,0.83015317
ADAUSDT,2580,4,-3.3294787,-2.4841828,0.58812773,0.4350324,0.6482527,0.86504924
ADAUSDT,2581,5,-3.2576706,-2.9475558,0.5932354,0.4937352,0.6152935,0.7324554
ADAUSDT,2582,6,-2.0377705,-2.2527256,0.68000555,0.60546196,0.664716,0.7541525
ADAUSDT,2583,7,-1.5738891,-1.5910251,0.71300095,0.66302186,0.7117821,0.7791358
ADAUSDT,2578,1,0.13359872,0.08391802,0.83700264,0.8244811,0.8336904,0.8455395
ADAUSDT,2579,2,-0.2773712,-0.19840637,0.8096031,0.80602473,0.81486773,0.823767
ADAUSDT,2580,3,-3.3294787,-2.7498884,0.6061177,0.38283986,0.6447593,0.86836797
ADAUSDT,2581,4,-3.2576706,-2.893314,0.61090523,0.54418194,0.63519704,0.74316883
ADAUSDT,2582,5,-2.0377705,-2.2084966,0.6922365,0.6069277,0.6808541,0.7587443
ADAUSDT,2583,6,-1.5738891,-1.6883857,0.72316366,0.66751575,0.71553016,0.7749828
ADAUSDT,2584,7,-2.0148191,-2.0115113,0.6937667,0.6477628,0.6939872,0.7545547
ADAUSDT,2579,1,-0.2773712,-0.1330657,0.8128159,0.81416863,0.82190466,0.8327441
ADAUSDT,2580,2,-3.3294787,-2.5183482,0.6205851,0.4865777,0.67167246,0.88146955
ADAUSDT,2581,3,-3.2576706,-2.8898892,0.62510777,0.5581304,0.64827174,0.7667714
ADAUSDT,2582,4,-2.0377705,-2.2547941,0.7019407,0.6332996,0.6882719,0.77769506
ADAUSDT,2583,5,-1.5738891,-1.6918491,0.7311573,0.69116807,0.7237279,0.79069537
ADAUSDT,2584,6,-2.0148191,-2.0253108,0.70338625,0.6653536,0.70272547,0.7672316
ADAUSDT,2585,7,-2.4291472,-2.255315,0.6772906,0.6504166,0.6882391,0.75762635
ADAUSDT,2580,1,-3.3294787,-2.5725636,0.6294943,0.48586437,0.6755489,0.9132983
ADAUSDT,2581,2,-3.2576706,-2.7104282,0.6338635,0.55709505,0.6671605,0.76286614
ADAUSDT,2582,3,-2.0377705,-2.0870457,0.7080884,0.6418647,0.7050903,0.7754556
ADAUSDT,2583,4,-1.5738891,-1.4811091,0.7363133,0.6938203,0.7419585,0.789001
ADAUSDT,2584,5,-2.0148191,-1.9694271,0.7094849,0.6685749,0.7122468,0.770487
ADAUSDT,2585,6,-2.4291472,-2.1822143,0.68427503,0.6538921,0.6992997,0.7531953
ADAUSDT,2586,7,-2.6650574,-2.6270576,0.6699211,0.6363126,0.6722332,0.72077096
ADAUSDT,2581,1,-3.2576706,-3.16897,0.63956934,0.5673097,0.644843,0.7286633
ADAUSDT,2582,2,-2.0377705,-2.2779136,0.71209776,0.6636709,0.69782025,0.7295982
ADAUSDT,2583,3,-1.5738891,-1.6632211,0.7396776,0.709432,0.7343664,0.7584678
ADAUSDT,2584,4,-2.0148191,-2.0488906,0.71346235,0.68969697,0.7114366,0.74007493
ADAUSDT,2585,5,-2.4291472,-2.327049,0.6888287,0.672454,0.6948989,0.7185772
